act_s,count,act
"Prohibition of Charging Exhorbitant interest Act",1,13508
"Prohibition of Charging Exorbitant Interest Act",1,13509
"Prohibition of Child Marraige Act",60,13510
"Prohibition of Child Marriage Act",1025,13511
"Prohibition of Child Marriage Act 2006",18,13512
"Prohibition of Child Marriage Act 2006.",3,13513
"Prohibition of Child Marriage Act 2007",1,13514
"Prohibition of Child Marriage Act, 2006",3,13515
"Prohibition of Child Marriage act, 2006",1,13516
"Prohibition of Construction Act 1995",3,13517
"Prohibition of Cow's Slaughter Act 2005",11,13518
"Prohibition of Defence Act 1995",419,13519
"Prohibition of Employment As Manual Scavengers and Their Rehabilitation Act",1,13520
"Prohibition of Employment as Manual Scavengers and their Rehabilitation Rules",1,13521
"Prohibition of Immoral Traffic Act 1956",1,13522
"Prohibition of Ragging Act, 1998 (Kerala)",40,13523
"Prohibition of Sex Seletion Act 1994",4,13524
"Prohibition of Slaughter and Regulation of Temporary Migration or Export Act,1995",3,13525
"Prohibition of Smoking (Cinema and Theatre hallas) (State) Act, Svt. 2009 (1952 A.D)",2,13526
"Prohibition of Smoking Act",63,13527
"Prohibition of Smoking and Non-Smokers health protection act",5,13528
"Prohibition of The Child Marraige Act-2006",1,13529
"Prohibition of charging Exhorbitant Interest Act",1,13530
"Prohibition of child Marriage Act",1,13531
"Prohibition of child Marriage Act 2006",8,13532
"Prohibition of child marriage Act",3,13533
"Prohibition of child marriage Act 2006",4,13534
"Prohibition of child marriage act",2,13535
"Prohibition of child marriage act 2006",1,13536
"Prohibition of smoking act",16,13537
"ProhibitionofChildMarriageAct",127,13538
"Promotion of Trees growing in non Forest Area Act 2005",3,13539
"Property Damage Act",3,13540
"Property Damages Act",1205,13541
"Property Suit",45,13542
"Property formulation Act",5,13543
"Propety Suit",23,13544
"Prosecution complaint under the Building and other construction workers Act 1996",17,13545
"Protec tion of Children from Sexual Offences Act 2012.",2,13546
"Protect From Family Violence",2,13547
"Protected Area Order :(Bihar)",15,13548
"Protection  of  Women from Domestic Violence Act, 2005",28,13549
"Protection  of Children from Sexual  Offences  Act,  2012",210,13550
"Protection  of Women from Domestic Violence Act",1,13551
"Protection Of Child from Sexual Offences Act",78,13552
"Protection Of Children From Sexual Offence Act-2012",1,13553
"Protection Of Children From Sexual Offences",1,13554
"Protection Of Children From Sexual Offences Act 2012",280,13555
"Protection Of Children From Sexual Offences Act, 2012",77,13556
"Protection Of Children From Sexual Offences Act, 2012 POCSO",21,13557
"Protection Of Children From Sexual Offences Act2012",4,13558
"Protection Of Children Sexual Offence Act 2012",1,13559
"Protection Of Children from Sexual Offences",40,13560
"Protection Of Children from Sexual Offences Act",1,13561
"Protection Of Children from Sexual Offences Act 2012",19,13562
"Protection Of Children from Sexual Offences Act, 2012",70,13563
"Protection Of Civil Rights Act",668,13564
"Protection Of Cruality To Animal Act",9,13565
"Protection Of Women From Domestic Violence Act",4,13566
"Protection Of Women from Domestic Violence Act 2005",6,13567
"Protection children from sexual offence Act.",2,13568
"Protection from Child Sexual Act",2,13569
"Protection of  children from sexual offence Act, 2012",8,13570
"Protection of (Aboriginal Tribes) (Interest in Trees) Act 1956",2,13571
"Protection of Bovin Animal Slaughter Act 2005",2,13572
"Protection of Chidren From Sexual Offences Act, 2012",9,13573
"Protection of Child Against Sexual Offences",19,13574
"Protection of Child From Sexual Abuse",585,13575
"Protection of Child From Sexual Offences Act 2012",39,13576
"Protection of Child Rights Act 2005",14,13577
"Protection of Child Sexual Ofences",36,13578
"Protection of Child Sexual Offece",72,13579
"Protection of Child Sexual Offence",2,13580
"Protection of Child from Sexual Offence",7,13581
"Protection of Child from Sexual Offence Act",25,13582
"Protection of Child from Sexual Offence Act-2012",2502,13583
"Protection of Child from Sexual Offences",5,13584
"Protection of Child from Sexual Offences Act, 2012",13,13585
"Protection of Child from Sexual Offeneces",5,13586
"Protection of Child sexual Offence Act",21,13587
"Protection of Childeren From Sexual Offence Act., 2012",18,13588
"Protection of Childern Sexual Offence Act 2012",23,13589
"Protection of Childern from Sexual Offences act 2012",28,13590
"Protection of Children",576,13591
"Protection of Children  from sexual offences act 2012",2,13592
"Protection of Children Act",2,13593
"Protection of Children Against Sexual Offence 2012",1,13594
"Protection of Children Against Sexual Offences",192,13595
"Protection of Children From Sexual Offence Act",1179,13596
"Protection of Children From Sexual Offence Act 2012",19,13597
"Protection of Children From Sexual Offences",16,13598
"Protection of Children From Sexual Offences Act",9233,13599
"Protection of Children From Sexual Offences Act 2012",165,13600
"Protection of Children From Sexual Offences Act, 2000",450,13601
"Protection of Children From Sexual Offences Act, 2012",4,13602
"Protection of Children From Sexual Offences,2012",303,13603
"Protection of Children From sexual Offences Act",12,13604
"Protection of Children Marriage Act",3,13605
"Protection of Children Sexual Offence POCSO",3,13606
"Protection of Children Sexual Offence, 2012",252,13607
"Protection of Children Sexual Offences 2012 Act",16,13608
"Protection of Children form Sexual Offences Act",4,13609
"Protection of Children form Sexual Offences Act, 2012",62,13610
"Protection of Children fro Sexual offences (POCSO) Act",230,13611
"Protection of Children from  sexual Offences Act,2012",69,13612
"Protection of Children from Sexual  Offences POCSO Act 2012",29,13613
"Protection of Children from Sexual Offances",1,13614
"Protection of Children from Sexual Offecences Act",1,13615
"Protection of Children from Sexual Offence",2570,13616
"Protection of Children from Sexual Offence .",41,13617
"Protection of Children from Sexual Offence Act",38,13618
"Protection of Children from Sexual Offence Act 2012",552,13619
"Protection of Children from Sexual Offence Act 2012.",1,13620
"Protection of Children from Sexual Offence Act, 2012",789,13621
"Protection of Children from Sexual Offence Act,2012",4,13622
"Protection of Children from Sexual Offence Act.2012",128,13623
"Protection of Children from Sexual Offence POCSO",474,13624
"Protection of Children from Sexual Offences",541,13625
"Protection of Children from Sexual Offences  POCSO",2,13626
"Protection of Children from Sexual Offences (POCSO)",25,13627
"Protection of Children from Sexual Offences (POCSO) Act",5,13628
"Protection of Children from Sexual Offences (POCSO) Act, 2012",27,13629
"Protection of Children from Sexual Offences 2012",11,13630
"Protection of Children from Sexual Offences ACT",2,13631
"Protection of Children from Sexual Offences Act",220,13632
"Protection of Children from Sexual Offences Act (POCSO Act)",7,13633
"Protection of Children from Sexual Offences Act (POCSO)",280,13634
"Protection of Children from Sexual Offences Act (POSCO)",10,13635
"Protection of Children from Sexual Offences Act 2012",2788,13636
"Protection of Children from Sexual Offences Act'2012",42,13637
"Protection of Children from Sexual Offences Act, 2012",4464,13638
"Protection of Children from Sexual Offences Act, 2012 U/s",4,13639
"Protection of Children from Sexual Offences Act, 2012.",289,13640
"Protection of Children from Sexual Offences Act,2012",308,13641
"Protection of Children from Sexual Offences Rules",1060,13642
"Protection of Children from Sexual Offences. Act, 2012",2033,13643
"Protection of Children from Sexual Offencess Act",32,13644
"Protection of Children from Sexual Offense Act (POSCO)",15,13645
"Protection of Children from Sexual Offenses Act, 2012",5,13646
"Protection of Children from Sexual Officences Act, 2012",623,13647
"Protection of Children from Sexual Violence",6,13648
"Protection of Children from Sexual offence",8,13649
"Protection of Children from Sexual offence  Act POCSO2013",19,13650
"Protection of Children from Sexual offence Act, 2012",15,13651
"Protection of Children from Sexual offence Act.",148,13652
"Protection of Children from Sexual offences Act 2012",8,13653
"Protection of Children from Sexual offences Act,2012",160,13654
"Protection of Children from Sexual offences Act- 2012.",1,13655
"Protection of Children from Sexual offenses Act",48,13656
"Protection of Children from sexual Offence Act",15,13657
"Protection of Children from sexual Offences Act,  2012",124,13658
"Protection of Children from sexual Offences Act, 2012",1,13659
"Protection of Children from sexual offences Act , 2012",8,13660
"Protection of Children from sexual offences Act-2012",2,13661
"Protection of Children from sexual offences act 2012",21,13662
"Protection of Children from sexual offenses Act, 2012",1,13663
"Protection of Children from the Sexual Offences Act, 2012",38,13664
"Protection of Childrens from Sexual Offences, POCSO Act, 2012",89,13665
"Protection of Civil",5,13666
"Protection of Civil / Rights Act",74,13667
"Protection of Civil Right Act\",10,13668
"Protection of Civil Right Rules",3,13669
"Protection of Civil Rights Act",1001,13670
"Protection of Civil Rights Act 1955",7,13671
"Protection of Civil Rights( PCR) Rules",7,13672
"Protection of Civil\ Right Act",14,13673
"Protection of Civil\Right Act",2,13674
"Protection of Cow Progeny Act",46,13675
"Protection of Debtors Act 1937",1,13676
"Protection of Defacement of Public Property Act,1997",4,13677
"Protection of Depositors Interust Act 2005",2,13678
"Protection of Domestic voilence against woman",21,13679
"Protection of Environment",6,13680
"Protection of Environment Act 1986",3,13681
"Protection of Human Rights Act",2,13682
"Protection of Human Rights Act, 1993",2207,13683
"Protection of Human Rights Act, 1993 1994",5,13684
"Protection of Insults to National Honours Act",2,13685
"Protection of Interest of Depositors (In Financial Establishments) Act (Maharashtra)",110,13686
"Protection of Mohammadan Piligrims act",8,13687
"Protection of Plant Varieties and Farmers Right Act",3,13688
"Protection of Plant Varieties and Farmersâ€™ Right Act",8,13689
"Protection of Plant Varieties and Farmers’ Right Act",269,13690
"Protection of Plant Varieties and Farmers’ Right Act 2001",6,13691
"Protection of Right Act\",93,13692
"Protection of River Banks and Regulation of Removal of Sand Act, 2001 (Kerala)",12493,13693
"Protection of Tree in Hill Areas Act, 1976  U.P.",1,13694
"Protection of Tress Act, 1976  The U.P.",1,13695
"Protection of Wild Life Act, 1972",4,13696
"Protection of Women",1,13697
"Protection of Women From Domestic Violence 2005",83,13698
"Protection of Women From Domestic Violence Act",7623,13699
"Protection of Women From Domestic Violence Act 2005",5,13700
"Protection of Women From Domestic Violence Act,2005",165,13701
"Protection of Women Haressment Act",2,13702
"Protection of Women from DV Act",53,13703
"Protection of Women from Domestic Violation Act",13,13704
"Protection of Women from Domestic Violence",116,13705
"Protection of Women from Domestic Violence ACT",17006,13706
"Protection of Women from Domestic Violence Act",299460,13707
"Protection of Women from Domestic Violence Act ,2005",85,13708
"Protection of Women from Domestic Violence Act 2003",388,13709
"Protection of Women from Domestic Violence Act 2005",39992,13710
"Protection of Women from Domestic Violence Act, 2005",23317,13711
"Protection of Women from Domestic Violence Act. 2005",24,13712
"Protection of Women from Domestic Violence Rules",942,13713
"Protection of Women from Domestic Voilence Rules 2006",565,13714
"Protection of Women from Domestic Voilence Rules,",69,13715
"Protection of Women from Domestic violence  Act",1,13716
"Protection of Women from domestic Violence",20,13717
"Protection of Women under Domestic Violence Act",789,13718
"Protection of child sexual offence",3,13719
"Protection of childern from Sexual Offence Act 2012",48,13720
"Protection of children from Sexual Offence",6,13721
"Protection of children from Sexual Offence Act",4,13722
"Protection of children from Sexual Offences Act 2012",127,13723
"Protection of children from Sexual Offences Act, 2012",93,13724
"Protection of children from sexual affences act 2012",4,13725
"Protection of children from sexual offence",14,13726
"Protection of children from sexual offence Act 2012",160,13727
"Protection of children from sexual offence Act, 2012",3,13728
"Protection of children from sexual offence act",1,13729
"Protection of children from sexual offence act ,POCSO",10,13730
"Protection of children from sexual offence act 2012",324,13731
"Protection of children from sexual offences Act",24,13732
"Protection of children from sexual offences Act, 2012",46,13733
"Protection of children from sexual offences Act.",61,13734
"Protection of children from sexual offences, 2012",7,13735
"Protection of chrildren from sexual offence Act, 2012.",11,13736
"Protection of cow progeny Act 2012",3,13737
"Protection of depositors interest act",1,13738
"Protection of forest animals",5,13739
"Protection of woman from Domestic Violence Act 2005",3,13740
"Protection of women Act",9,13741
"Protection of women from Domestic Vidence Act,2005",3,13742
"Protection of women from Domestic Violance Act 2005",14,13743
"Protection of women from Domestic Violence Act",48,13744
"Protection of women from Domestic Violence Act 2005",2,13745
"Protection of women from Domestic Violence Act, 2005",581,13746
"Protection of women from Domestic Violence Act.",79,13747
"Protection of women from Domestic violence Act",96,13748
"Protection of women from domestic violence of ACT 2005",19,13749
"Protection of women's from domestic violence act",4,13750
"Protection of womens from Domestic Violence Act",23,13751
"Protection women from Domestic Violence Act 2005",19,13752
"ProtectionofCivilRightsAct",710,13753
"ProtectionofHumanRightsAct",40,13754
"ProtectionofPlantVarietiesandFarmersRightAct",2,13755
"ProtectionofWomenfromDomesticViolenceAct",6885,13756
"Protetion Of Children From Sexual Offences Act 2012",5,13757
"Provention of Inmoral Tarrfic Act",11,13758
"Provident Fund Insurance Act",92,13759
"Provident Fund and Miscellaneous Provisions Act",2,13760
"Provident Funds Act",886,13761
"Provident Funds Act 1925",1,13762
"ProvidentFundsAct",128,13763
"Provincial Armed Constabulary Reorganization  Govt. Order    U.P.",7,13764
"Provincial Insolvency Act",971,13765
"Provincial Insolvency Act 1920",78,13766
"Provincial Insolvency Act 1920\",22,13767
"Provincial Insolvency Act 1954",15,13768
"Provincial Insolvency Act 1954\",6,13769
"Provincial Insolvency Act, 1920",5,13770
"Provincial Insolvency Act.",1,13771
"Provincial Insolvency Act1920",1,13772
"Provincial Insovency Act",7,13773
"Provincial Municipal Corporations Act (Maharashtra)",5594,13774
"Provincial Small Cause Court Act 1887",11,13775
"Provincial Small Cause Courts Act",1504,13776
"Provincial Small Cause Courts Act, 1887",13,13777
"Provincial Small Cause Courts Act\",11,13778
"Provincial Small Causes Act",2321,13779
"ProvincialInsolvencyAct",2651,13780
"ProvincialSmallCauseCourtsAct",4,13781
"Provincialization of Services Act, 2011",12,13782
"Provision of the Collection of Statistics Act-2008(7 of 2009)",1,13783
"Provisional Collection of Taxes Act",7,13784
"Provisional of Insolvency Act",1,13785
"Provisions of  food safety and quality act",1832,13786
"Provisions of the Panchayats (Extension to the Scheduled  Areas) Act",296,13787
"Provisions of the Panchayats (Extension to the Scheduled Areas) Act",29,13788
"Public Accountants Defaults Act",4,13789
"Public Accountants' Defaults Act",187,13790
"Public Buildings (Eviction of Unauthorised Occupants) Act, 1968 (Kerala)",16,13791
"Public Debt Act",967,13792
"Public Demands Recovery Act",1,13793
"Public Distribution System Control Order, 2002",1,13794
"Public Employment (Requirement as to Residence) Act",12,13795
"Public Examination  Prevention of Unlawful means   Act, 1998  U.P.",1,13796
"Public Examination (Prevention of Unfair Means) Act, 1998",1,13797
"Public Examination Prevention of Unlawful means Act, 1998 U.P.",1,13798
"Public Financial Institutions (Obligation as to Fidelity  and Secrecy) Act",38,13799
"Public Financial Institutions (Obligation as to Fidelity  and Secrecy) Act 1983",4,13800
"Public Financial Institutions (Obligation as to Fidelity and Secrecy) Act",28,13801
"Public GAMBLING ACT",489,13802
"Public Gambling Act",46904,13803
"Public Gambling Act 1867",117045,13804
"Public Gambling Act 1955",45,13805
"Public Gambling Act, 1867",1359,13806
"Public Gambling Act, 1977 (1920 A.D)",3,13807
"Public Gambling Act.",11,13808
"Public Health Act",151,13809
"Public Irrigation & drainage works act",29,13810
"Public Irrigation &amp; drainage works act",3,13811
"Public Liability Insurance Act",61,13812
"Public Liability Insurance Act 1991",1,13813
"Public Men and Public Servants Declaration of assets and Other Provisions Act",1,13814
"Public Premises  - Eviction Act 1971",26,13815
"Public Premises (Eviction Act 1971)",310,13816
"Public Premises (Eviction of Unauthorised Occupants) Act",7274,13817
"Public Premises (Eviction of Unauthorised Occupants) Act 1971",105,13818
"Public Premises (Eviction of Unauthorised Occupants) Act, 1971",129,13819
"Public Premises (Eviction of Unauthorized Occupants) Act",82,13820
"Public Premises Act",35,13821
"Public Premises Act 1971",1047,13822
"Public Premises Act 1971  \",75,13823
"Public Premises Act 1971 \",218,13824
"Public Premises Eviction Act",24,13825
"Public Premises Eviction Act 1971",155,13826
"Public Premises Eviction of Unauthorized Occupants Act",163,13827
"Public Premises Eviction of Unauthorized Occupants Act 1974",6,13828
"Public Premises(Eviction of Unauthorized occupants ) Act 1971",10,13829
"Public Prevention of Damages to Public Property Act 1984",30,13830
"Public Property (Prevention of damage) Act",85,13831
"Public Property Act",7,13832
"Public Property Damages Act",6,13833
"Public Property Defecement Act",5,13834
"Public Property Detecement Act",1773,13835
"Public Property Prevention Act",6,13836
"Public Property Protection Act 1977",1,13837
"Public Provident Fund Act",71,13838
"Public Records Act",41,13839
"Public Representaion Act",6,13840
"Public Representation Act",325,13841
"Public Representative Act",1,13842
"Public Representative Act 1951",9,13843
"Public Safety Act",3,13844
"Public Sector Iron and Steel Companies  (Restructuring) and  Miscellaneous Provisions Act",5,13845
"Public Servants (Inquiries) Act",42,13846
"Public Servants (Inquiries) Act, Svt. 1977 (1920 A.D)",4,13847
"Public Service  Reservation for Schedule Caste, Schedule Tribe and Other Backward classes   Act, 199",2,13848
"Public Suits Validation Act",87,13849
"Public Suits Validation Act, 1932",25,13850
"Public Trusts Act",2,13851
"Public Trusts Act (Maharashtra)",1510,13852
"Public Trusts Act 1951",685,13853
"Public Wakfs (Extension of Limitation) Act",202,13854
"Public Wakfs Extension of Limitation Act",1,13855
"Public Ways Act",1,13856
"Public Ways Restruction and Procession Act",1,13857
"Public Ways Restruction of Assemblies and Processions Act 2011",14,13858
"Public gambling act",5459,13859
"Public gambling act, 1867",69,13860
"Public land Encroachment act",1273,13861
"Public premises (eviction of unauthorised occupants )Act",175,13862
"Public premises eviction of unauthorised occupants  Act",1,13863
"PublicDebtAct",35,13864
"PublicEmployment(RequirementastoResidence)Act",1,13865
"PublicFinancialInstitutions(ObligationastoFidelityandSecrecy)Act",1,13866
"PublicGamblingAct",399,13867
"PublicLiabilityInsuranceAct",130,13868
"PublicPremises(EvictionofUnauthorisedOccupants)Act",79,13869
"PublicProvidentFundAct",76,13870
"PublicRecordsAct",10,13871
"PublicServants(Inquiries)Act",23,13872
"PublicSuitsValidationAct",8,13873
"PublicWakfs(ExtensionofLimitation)Act",1271,13874
"Publice Gambling Act 1867",1610,13875
"Publicpropertydamagedact",7,13876
"Pubolic Gambling Act, 1867",8,13877
"Puducherry Town and Country Planning Act 1969",7,13878
"Punishment for cheating for personation",1,13879
"Punjab Apartment And Property Regulation Act 1995",8,13880
"Punjab Apartment Property Regulation Act",9,13881
"Punjab Apartment and Property Regulation",1,13882
"Punjab Apartment and Property Regulation Act",17,13883
"Punjab Apartment and Property Regulation Act ,1995",1,13884
"Punjab Apartment and Property Regulation Act 1995",15,13885
"Punjab Apartment and Regulation Property Act 1995",2,13886
"Punjab Courts Act 1918",1,13887
"Punjab District Boards Act",82,13888
"Punjab Disturbed Areas Act",27,13889
"Punjab Excise (Delhi Amendment) Act",29178,13890
"Punjab Excise Act",2846,13891
"Punjab Excise Act  1914",799,13892
"Punjab Excise Act 1914",3297,13893
"Punjab Excise Act 1914  \",1,13894
"Punjab Excise Act 1914 \",37,13895
"Punjab Excise Delhi Amendment Act",14,13896
"Punjab Good Conduct Act 1962",4,13897
"Punjab Goods Conduct Prisoners act 1962",6,13898
"Punjab Gram Panchayat, Samities and Zilla Parishad (Chandigarh Repeal) Act",125,13899
"Punjab Indebtedness Relief Act,1934",2,13900
"Punjab Industiral establishment festival holiday, casual and sick leave Act 1965",2,13901
"Punjab Industrial Establishment (National And Festival Holidays and casual and Sick Leave) Act 1965",59,13902
"Punjab Industrial Establishment (National and Festival Holidays, Casual and Sick Leave) Act, 1965",12,13903
"Punjab Industrial Establishment Festival Holiday, casual and sick leaves Act 1965",13,13904
"Punjab Industrial Establishment Festival holidays, Casual and Sick Leave Act, 1965",9,13905
"Punjab Industrial Establishment National Festival Holidays Act, 1965",1,13906
"Punjab Industrial Establishment, National and Festival, Causal and Sick Leave Act 1965",6,13907
"Punjab Industrial Establishments National and Festival Holidays and Casual and Sick Leave Act 1965",40,13908
"Punjab Instrument  (Control of Noises) Act 1956",3,13909
"Punjab Instruments Control and Noises Act",2,13910
"Punjab Instruments(Control Of Noise)Act 1956",1,13911
"Punjab Land Preservation Act, 1900",3,13912
"Punjab Land Revenue Act",269,13913
"Punjab Land revenue Act",33,13914
"Punjab Laws Act",289,13915
"Punjab Legislative Council (Abolition) Act",6,13916
"Punjab Municipal  Act  ,1911",1,13917
"Punjab Municipal Act",18,13918
"Punjab Municipal Act, 1911",18,13919
"Punjab Municipal Corporation  Act",273,13920
"Punjab Municipal Corporation Law (Extension to Chandigarh)  Act",1155,13921
"Punjab Municipal Corporation Law (Extension to Chandigarh) Act",156,13922
"Punjab Prevention of Defencement of Property Oridence Act 1997",3,13923
"Punjab Prevention of decafement of Property Act 1997",1,13924
"Punjab Prevention of defacement of property Act 1997",5,13925
"Punjab Prohibition of Cow Slaughter  Haryana Amendment Act, 1980",8,13926
"Punjab Prohibition of Cow Slaughter 'Haryana Amendment' Act, 1980",3,13927
"Punjab Prohibition of Cow Slaughter ,Haryana Amendment Act, 1980",1,13928
"Punjab Prohibition of Cow Slaughter ,Haryana Amendment, Act, 1980",2,13929
"Punjab Prohibition of Cow Slaughter ,Haryana Amendment, Act, 1980.",20,13930
"Punjab Prohibition of Cow Slaughter Act , 1955",6,13931
"Punjab Prohibition of Cow Slaughter Act 1955",13,13932
"Punjab Prohibition of Cow Slaughter Act, 1955",95,13933
"Punjab Prohibition of Cow Slaughter Act, 1955.",25,13934
"Punjab Prohibition of Cow Slaughter Act,1955",13,13935
"Punjab Prohibition of Cow Slaughter Haryana Amendment  Act, 1980",9,13936
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act , 1980",2,13937
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act 1980",1,13938
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act,",79,13939
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act, 1980",575,13940
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act, 1980.",7,13941
"Punjab Prohibition of Cow Slaughter Haryana Amendment Act,1980",2,13942
"Punjab Prohibition of Cow Slaughter Haryana Amndment Act, 1980",1,13943
"Punjab Prohibition of Cow Slaughter HaryanaAmendment Act, 1980",1,13944
"Punjab Provention of Defencement of property Ordinance Act 1977",3,13945
"Punjab Regional Town Planning Development Act",1,13946
"Punjab Relief Indebtedness Act",7,13947
"Punjab Relief Indebtedness Act1934",11,13948
"Punjab Relief of Indebtedness Act",1,13949
"Punjab Relief of Indebtness Act 1934",22,13950
"Punjab Relief of Indebtness Act, 1934",27,13951
"Punjab Rent Act",170,13952
"Punjab Rent Act, 1995",41,13953
"Punjab Reorganisation Act",82,13954
"Punjab Scheduled Roads and Controlled Areas Restriction of Unregulated Development Act",16,13955
"Punjab Scheduled Roads and Controlled Areas Restriction of Unregulated Development Act, 1963",3,13956
"Punjab Scheduled Roads and Controlled Arreas Restriction of Unregulated Development Act",8,13957
"Punjab Shop and Commercial Establishment Act",51,13958
"Punjab Shop and Commercial Establishment Act,1958",1,13959
"Punjab Shops and Commercial Establishment Act",58,13960
"Punjab Shops and Commercial Establishment Act 1958",980,13961
"Punjab Shops and Commercial Establishment Act, 1958",14,13962
"Punjab Shops and commercial establishmnents act",21,13963
"Punjab State Election Commisson Act",1,13964
"Punjab State Legislature (Delegation of Powers) Act",21,13965
"Punjab Tenancy Act",55,13966
"Punjab Town Improvement Act 1922",3,13967
"Punjab Travel Professional Regulation Act 2014",3,13968
"Punjab Urban Development Authority Act, 1977.",2,13969
"Punjab Village Common Lands Regulation Act , 1961",1,13970
"Punjab Village Common Lands Regulation Act 1961",2,13971
"Punjab Village Common Lands Regulation Act, 1961",110,13972
"Punjab Village Common Lands Regulation Act, 1961.",11,13973
"Punjab shops and commercial establishmet act, 1958",9,13974
"Puplic Distribution System (Control) Order, 2001",1,13975
"R",3325,13976
"R M I ACT",1,13977
"R N C ACT",16,13978
"R P ACT",27,13979
"R P Act",3,13980
"R P C",532,13981
"R P C 109",16,13982
"R P C 120 B",7,13983
"R P C 120B",1,13984
"R P C 120B,121A,124A",1,13985
"R P C 121/122",1,13986
"R P C 121A",4,13987
"R P C 147",10,13988
"R P C 147,323,307,341,325,",2,13989
"R P C 147,436,450",1,13990
"R P C 188",31,13991
"R P C 188,295A",2,13992
"R P C 201",9,13993
"R P C 212,216",1,13994
"R P C 279",27,13995
"R P C 279,308",1,13996
"R P C 279,337,338,304/A,467,468,471,474,379",19,13997
"R P C 294",3,13998
"R P C 295,457,380",2,13999
"R P C 297",3,14000
"R P C 298A",1,14001
"R P C 302",5,14002
"R P C 302,109,201",1,14003
"R P C 302,307,449,450,147,148",1,14004
"R P C 302,34,201,294",1,14005
"R P C 302/34",4,14006
"R P C 304",5,14007
"R P C 304,323,354,452,147",1,14008
"R P C 304/34",1,14009
"R P C 304A",17,14010
"R P C 306",4,14011
"R P C 306,498A,376",1,14012
"R P C 307",5,14013
"R P C 307,120B,212,109",1,14014
"R P C 307,121A",1,14015
"R P C 307,147,148,326,336,341,323",2,14016
"R P C 307,323,424,341",1,14017
"R P C 307,341,323,34",1,14018
"R P C 307,458,506",1,14019
"R P C 308",2,14020
"R P C 323",80,14021
"R P C 324,323,342,364,382,34",1,14022
"R P C 325",5,14023
"R P C 336",4,14024
"R P C 337",18,14025
"R P C 338",8,14026
"R P C 34",5,14027
"R P C 341",31,14028
"R P C 342",2,14029
"R P C 343",1,14030
"R P C 343,109,366,376",1,14031
"R P C 354",9,14032
"R P C 360,376,109",3,14033
"R P C 363",4,14034
"R P C 363,376,511",1,14035
"R P C 364",1,14036
"R P C 366",3,14037
"R P C 366,376,109",5,14038
"R P C 366,376,363,109",1,14039
"R P C 376",26,14040
"R P C 376,342,323,511",1,14041
"R P C 376,363",3,14042
"R P C 376,363,342,109",2,14043
"R P C 376,366",3,14044
"R P C 376,506",2,14045
"R P C 376,511",2,14046
"R P C 380",17,14047
"R P C 382",8,14048
"R P C 420",20,14049
"R P C 420,427,468,467",4,14050
"R P C 420,471,474,468",1,14051
"R P C 427",12,14052
"R P C 436",1,14053
"R P C 436,456,147,448,201",1,14054
"R P C 450,364",1,14055
"R P C 451",5,14056
"R P C 452",4,14057
"R P C 457",7,14058
"R P C 458",1,14059
"R P C 458,376",1,14060
"R P C 467",1,14061
"R P C 467,468,471,420,201",1,14062
"R P C 467,471,474,420",1,14063
"R P C 468",2,14064
"R P C 468,420,467,34,120B",1,14065
"R P C 494,498A",2,14066
"R P C 498A",3,14067
"R P C 498A,306,34",2,14068
"R P C 500",8,14069
"R P C 506",28,14070
"R P C 511",2,14071
"R P G O",24,14072
"R P UP ACT 1966",5,14073
"R. O. P.  Representation  Act",112,14074
"R. P. ACT. 1961",27,14075
"R.B. Act 1995",3,14076
"R.B.A. ACT",103,14077
"R.B.D Act",5,14078
"R.D.A. Act",9,14079
"R.E.andC.S Act 1996",294,14080
"R.Excise Act",241,14081
"R.M.I Act",31,14082
"R.N.C . ACT",91,14083
"R.N.C act",58,14084
"R.N.C.",421,14085
"R.N.C. ACT",79,14086
"R.N.C. Act.",44,14087
"R.N.T. Act",5,14088
"R.P Act",2,14089
"R.P. ACT",2,14090
"R.P. U.P",5,14091
"R.P.C",199,14092
"R.P.C 302",5,14093
"R.P.C 364",2,14094
"R.P.C. 302",2,14095
"R.P.G.O",115,14096
"R.P.G.O.",1467,14097
"R.P.G.O. ACT",533,14098
"R.P.G.O. Act",7,14099
"R.P.G.O.ACT",51,14100
"R.P.U.P. Act",12,14101
"R.T.I. Act",6,14102
"R/O VII Rule 1 r/w Sec. 26  of CPC and Sec. 35(2) of K.C.F. Act",1,14103
"R/W 151 OF CPC",60,14104
"R/W 2 (ii) (iv) (viii) FOR DISSOLUTION OF MUSLIM MARRIAGES UNDER SPECIAL MARRIAGE ACT",1,14105
"R/W 307 (3) OF MOHAMADDEN LAW",1,14106
"R/W 307(C) OF MOHAMMDEN LAW",1,14107
"R/W 54 OF CPC",2,14108
"R/W ORDER 41 RULE 1 OF C P C",1,14109
"R/W SEC 26 OF CPC",30,14110
"R/W SEC. 6 OF HINDU MINORITY/GUARDIANSHIP ACT.",2,14111
"R/W SEC. 7 OF THE F.C. ACT",3,14112
"R/W SEC. 7(g) OF THE F.C. ACT",2,14113
"R/W SEC.151 OF CPC",4,14114
"R/W SECTION 26 OF C.P.C.",6,14115
"R/W Sec",1,14116
"R/W Sec 359 of KMU Act",1,14117
"R/W Section",18,14118
